Company,Role,Question ID,Question,Category,Difficulty
Google,AI Engineer,137,Describe a neural network you implemented.,Coding,Hard
Google,AI Engineer,138,How do you prevent overfitting in deep learning?,Coding,Hard
Google,AI Engineer,139,What is reinforcement learning?,Coding,Medium
Google,AI Engineer,140,How do you optimize model performance?,Coding,Medium
Google,DevOps Engineer,141,Explain CI/CD pipeline.,System Design,Medium
Google,DevOps Engineer,142,How do you monitor server performance?,Coding,Medium
Google,DevOps Engineer,143,Describe a time you handled deployment failures.,Behavioral,Medium
Google,DevOps Engineer,144,How would you scale infrastructure for high traffic?,System Design,Hard
Google,DevOps Engineer,145,Explain containerization and orchestration.,Coding,Medium
Google,QA Engineer,146,Explain different testing strategies.,Coding,Medium
Google,QA Engineer,147,How do you write automated tests?,Coding,Medium
Google,QA Engineer,148,Describe a challenging bug you found.,Behavioral,Medium
Google,QA Engineer,149,Explain performance testing.,Coding,Hard
Google,QA Engineer,150,How do you ensure software quality in releases?,Behavioral,Medium
Amazon,Software Engineer,151,Explain the difference between a process and a thread.,Coding,Medium
Amazon,Software Engineer,152,How would you design a scalable chat application?,System Design,Hard
Amazon,Software Engineer,153,Describe a time you optimized code for performance.,Behavioral,Medium
Amazon,Software Engineer,154,Explain memory management in programming languages.,Coding,Medium
Amazon,Software Engineer,155,How do you handle merge conflicts in Git?,Coding,Easy
Amazon,Data Scientist,156,Explain bias-variance tradeoff.,Coding,Medium
Amazon,Data Scientist,157,How would you handle missing values?,Coding,Medium
Amazon,Data Scientist,158,Describe a predictive model you built.,Behavioral,Medium
Amazon,Data Scientist,159,How do you evaluate a machine learning model?,Coding,Hard
Amazon,Data Scientist,160,Explain PCA and when to use it.,Coding,Medium
Amazon,AI Engineer,161,Explain supervised vs unsupervised learning.,Coding,Medium
Amazon,AI Engineer,162,Describe a neural network you implemented.,Coding,Hard
Amazon,AI Engineer,163,How do you prevent overfitting in deep learning?,Coding,Hard
Amazon,AI Engineer,164,What is reinforcement learning?,Coding,Medium
Amazon,AI Engineer,165,How do you optimize model performance?,Coding,Medium
Amazon,DevOps Engineer,166,Explain CI/CD pipeline.,System Design,Medium
Amazon,DevOps Engineer,167,How do you monitor server performance?,Coding,Medium
Amazon,DevOps Engineer,168,Describe a time you handled deployment failures.,Behavioral,Medium
Amazon,DevOps Engineer,169,How would you scale infrastructure for high traffic?,System Design,Hard
Amazon,DevOps Engineer,170,Explain containerization and orchestration.,Coding,Medium
Amazon,QA Engineer,171,Explain different testing strategies.,Coding,Medium
Amazon,QA Engineer,172,How do you write automated tests?,Coding,Medium
Amazon,QA Engineer,173,Describe a challenging bug you found.,Behavioral,Medium
Amazon,QA Engineer,174,Explain performance testing.,Coding,Hard
Amazon,QA Engineer,175,How do you ensure software quality in releases?,Behavioral,Medium
Microsoft,Software Engineer,176,Explain the difference between a process and a thread.,Coding,Medium
Microsoft,Software Engineer,177,How would you design a scalable chat application?,System Design,Hard
Microsoft,Software Engineer,178,Describe a time you optimized code for performance.,Behavioral,Medium
Microsoft,Software Engineer,179,Explain memory management in programming languages.,Coding,Medium
Microsoft,Software Engineer,180,How do you handle merge conflicts in Git?,Coding,Easy
Microsoft,Data Scientist,181,Explain bias-variance tradeoff.,Coding,Medium
Microsoft,Data Scientist,182,How would you handle missing values?,Coding,Medium
Microsoft,Data Scientist,183,Describe a predictive model you built.,Behavioral,Medium
Microsoft,Data Scientist,184,How do you evaluate a machine learning model?,Coding,Hard
Microsoft,Data Scientist,185,Explain PCA and when to use it.,Coding,Medium
Microsoft,AI Engineer,186,Explain supervised vs unsupervised learning.,Coding,Medium
Microsoft,AI Engineer,187,Describe a neural network you implemented.,Coding,Hard
Microsoft,AI Engineer,188,How do you prevent overfitting in deep learning?,Coding,Hard
Microsoft,AI Engineer,189,What is reinforcement learning?,Coding,Medium
Microsoft,AI Engineer,190,How do you optimize model performance?,Coding,Medium
Microsoft,DevOps Engineer,191,Explain CI/CD pipeline.,System Design,Medium
Microsoft,DevOps Engineer,192,How do you monitor server performance?,Coding,Medium
Microsoft,DevOps Engineer,193,Describe a time you handled deployment failures.,Behavioral,Medium
Microsoft,DevOps Engineer,194,How would you scale infrastructure for high traffic?,System Design,Hard
Microsoft,DevOps Engineer,195,Explain containerization and orchestration.,Coding,Medium
Microsoft,QA Engineer,196,Explain different testing strategies.,Coding,Medium
Microsoft,QA Engineer,197,How do you write automated tests?,Coding,Medium
Microsoft,QA Engineer,198,Describe a challenging bug you found.,Behavioral,Medium
Microsoft,QA Engineer,199,Explain performance testing.,Coding,Hard
Microsoft,QA Engineer,200,How do you ensure software quality in releases?,Behavioral,Medium
Meta,Software Engineer,201,Explain the difference between a process and a thread.,Coding,Medium
Meta,Software Engineer,202,How would you design a scalable chat application?,System Design,Hard
Meta,Software Engineer,203,Describe a time you optimized code for performance.,Behavioral,Medium
Meta,Software Engineer,204,Explain memory management in programming languages.,Coding,Medium
Meta,Software Engineer,205,How do you handle merge conflicts in Git?,Coding,Easy
Meta,Data Scientist,206,Explain bias-variance tradeoff.,Coding,Medium
Meta,Data Scientist,207,How would you handle missing values?,Coding,Medium
Meta,Data Scientist,208,Describe a predictive model you built.,Behavioral,Medium
Meta,Data Scientist,209,How do you evaluate a machine learning model?,Coding,Hard
Meta,Data Scientist,210,Explain PCA and when to use it.,Coding,Medium
Meta,AI Engineer,211,Explain supervised vs unsupervised learning.,Coding,Medium
Meta,AI Engineer,212,Describe a neural network you implemented.,Coding,Hard
Meta,AI Engineer,213,How do you prevent overfitting in deep learning?,Coding,Hard
Meta,AI Engineer,214,What is reinforcement learning?,Coding,Medium
Meta,AI Engineer,215,How do you optimize model performance?,Coding,Medium
Meta,DevOps Engineer,216,Explain CI/CD pipeline.,System Design,Medium
Meta,DevOps Engineer,217,How do you monitor server performance?,Coding,Medium
Meta,DevOps Engineer,218,Describe a time you handled deployment failures.,Behavioral,Medium
Meta,DevOps Engineer,219,How would you scale infrastructure for high traffic?,System Design,Hard
Meta,DevOps Engineer,220,Explain containerization and orchestration.,Coding,Medium
Meta,QA Engineer,221,Explain different testing strategies.,Coding,Medium
Meta,QA Engineer,222,How do you write automated tests?,Coding,Medium
Meta,QA Engineer,223,Describe a challenging bug you found.,Behavioral,Medium
Meta,QA Engineer,224,Explain performance testing.,Coding,Hard
Meta,QA Engineer,225,How do you ensure software quality in releases?,Behavioral,Medium
Apple,Software Engineer,226,Explain the difference between a process and a thread.,Coding,Medium
Apple,Software Engineer,227,How would you design a scalable chat application?,System Design,Hard
Apple,Software Engineer,228,Describe a time you optimized code for performance.,Behavioral,Medium
Apple,Software Engineer,229,Explain memory management in programming languages.,Coding,Medium
Apple,Software Engineer,230,How do you handle merge conflicts in Git?,Coding,Easy
Apple,Data Scientist,231,Explain bias-variance tradeoff.,Coding,Medium
Apple,Data Scientist,232,How would you handle missing values?,Coding,Medium
Apple,Data Scientist,233,Describe a predictive model you built.,Behavioral,Medium
Apple,Data Scientist,234,How do you evaluate a machine learning model?,Coding,Hard
Apple,Data Scientist,235,Explain PCA and when to use it.,Coding,Medium
Apple,AI Engineer,236,Explain supervised vs unsupervised learning.,Coding,Medium
Apple,AI Engineer,237,Describe a neural network you implemented.,Coding,Hard
Apple,AI Engineer,238,How do you prevent overfitting in deep learning?,Coding,Hard
Apple,AI Engineer,239,What is reinforcement learning?,Coding,Medium
Apple,AI Engineer,240,How do you optimize model performance?,Coding,Medium
Apple,DevOps Engineer,241,Explain CI/CD pipeline.,System Design,Medium
Apple,DevOps Engineer,242,How do you monitor server performance?,Coding,Medium
Apple,DevOps Engineer,243,Describe a time you handled deployment failures.,Behavioral,Medium
Apple,DevOps Engineer,244,How would you scale infrastructure for high traffic?,System Design,Hard
Apple,DevOps Engineer,245,Explain containerization and orchestration.,Coding,Medium
Apple,QA Engineer,246,Explain different testing strategies.,Coding,Medium
Apple,QA Engineer,247,How do you write automated tests?,Coding,Medium
Apple,QA Engineer,248,Describe a challenging bug you found.,Behavioral,Medium
Apple,QA Engineer,249,Explain performance testing.,Coding,Hard
Apple,QA Engineer,250,How do you ensure software quality in releases?,Behavioral,Medium
Google,Software Engineer,251,Explain the difference between a process and a thread.,Coding,Medium
Google,Software Engineer,252,How would you design a scalable chat application?,System Design,Hard
Google,Software Engineer,253,Describe a time you optimized code for performance.,Behavioral,Medium
Google,Software Engineer,254,Explain memory management in programming languages.,Coding,Medium
Google,Software Engineer,255,How do you handle merge conflicts in Git?,Coding,Easy
Google,Data Scientist,256,Explain bias-variance tradeoff.,Coding,Medium
Google,Data Scientist,257,How would you handle missing values?,Coding,Medium
Google,Data Scientist,258,Describe a predictive model you built.,Behavioral,Medium
Google,Data Scientist,259,How do you evaluate a machine learning model?,Coding,Hard
Google,Data Scientist,260,Explain PCA and when to use it.,Coding,Medium
Google,AI Engineer,261,Explain supervised vs unsupervised learning.,Coding,Medium
Google,AI Engineer,262,Describe a neural network you implemented.,Coding,Hard
Google,AI Engineer,263,How do you prevent overfitting in deep learning?,Coding,Hard
Google,AI Engineer,264,What is reinforcement learning?,Coding,Medium
Google,AI Engineer,265,How do you optimize model performance?,Coding,Medium
Google,DevOps Engineer,266,Explain CI/CD pipeline.,System Design,Medium
Google,DevOps Engineer,267,How do you monitor server performance?,Coding,Medium
Google,DevOps Engineer,268,Describe a time you handled deployment failures.,Behavioral,Medium
Google,DevOps Engineer,269,How would you scale infrastructure for high traffic?,System Design,Hard
Google,DevOps Engineer,270,Explain containerization and orchestration.,Coding,Medium
Google,QA Engineer,271,Explain different testing strategies.,Coding,Medium
Google,QA Engineer,272,How do you write automated tests?,Coding,Medium
Google,QA Engineer,273,Describe a challenging bug you found.,Behavioral,Medium
Google,QA Engineer,274,Explain performance testing.,Coding,Hard
Google,QA Engineer,275,How do you ensure software quality in releases?,Behavioral,Medium
Amazon,Software Engineer,276,Explain the difference between a process and a thread.,Coding,Medium
Amazon,Software Engineer,277,How would you design a scalable chat application?,System Design,Hard
Amazon,Software Engineer,278,Describe a time you optimized code for performance.,Behavioral,Medium
Amazon,Software Engineer,279,Explain memory management in programming languages.,Coding,Medium
Amazon,Software Engineer,280,How do you handle merge conflicts in Git?,Coding,Easy
Amazon,Data Scientist,281,Explain bias-variance tradeoff.,Coding,Medium
Amazon,Data Scientist,282,How would you handle missing values?,Coding,Medium
Amazon,Data Scientist,283,Describe a predictive model you built.,Behavioral,Medium
Amazon,Data Scientist,284,How do you evaluate a machine learning model?,Coding,Hard
Amazon,Data Scientist,285,Explain PCA and when to use it.,Coding,Medium
Amazon,AI Engineer,286,Explain supervised vs unsupervised learning.,Coding,Medium
Amazon,AI Engineer,287,Describe a neural network you implemented.,Coding,Hard
Amazon,AI Engineer,288,How do you prevent overfitting in deep learning?,Coding,Hard
Amazon,AI Engineer,289,What is reinforcement learning?,Coding,Medium
Amazon,AI Engineer,290,How do you optimize model performance?,Coding,Medium
Amazon,DevOps Engineer,291,Explain CI/CD pipeline.,System Design,Medium
Amazon,DevOps Engineer,292,How do you monitor server performance?,Coding,Medium
Amazon,DevOps Engineer,293,Describe a time you handled deployment failures.,Behavioral,Medium
Amazon,DevOps Engineer,294,How would you scale infrastructure for high traffic?,System Design,Hard
Amazon,DevOps Engineer,295,Explain containerization and orchestration.,Coding,Medium
Amazon,QA Engineer,296,Explain different testing strategies.,Coding,Medium
Amazon,QA Engineer,297,How do you write automated tests?,Coding,Medium
Amazon,QA Engineer,298,Describe a challenging bug you found.,Behavioral,Medium
Amazon,QA Engineer,299,Explain performance testing.,Coding,Hard
Amazon,QA Engineer,300,How do you ensure software quality in releases?,Behavioral,Medium
Microsoft,Software Engineer,301,Explain the difference between a process and a thread.,Coding,Medium
Microsoft,Software Engineer,302,How would you design a scalable chat application?,System Design,Hard
Microsoft,Software Engineer,303,Describe a time you optimized code for performance.,Behavioral,Medium
Microsoft,Software Engineer,304,Explain memory management in programming languages.,Coding,Medium
Microsoft,Software Engineer,305,How do you handle merge conflicts in Git?,Coding,Easy
Microsoft,Data Scientist,306,Explain bias-variance tradeoff.,Coding,Medium
Microsoft,Data Scientist,307,How would you handle missing values?,Coding,Medium
Microsoft,Data Scientist,308,Describe a predictive model you built.,Behavioral,Medium
Microsoft,Data Scientist,309,How do you evaluate a machine learning model?,Coding,Hard
Microsoft,Data Scientist,310,Explain PCA and when to use it.,Coding,Medium
Microsoft,AI Engineer,311,Explain supervised vs unsupervised learning.,Coding,Medium
Microsoft,AI Engineer,312,Describe a neural network you implemented.,Coding,Hard
Microsoft,AI Engineer,313,How do you prevent overfitting in deep learning?,Coding,Hard
Microsoft,AI Engineer,314,What is reinforcement learning?,Coding,Medium
Microsoft,AI Engineer,315,How do you optimize model performance?,Coding,Medium
Microsoft,DevOps Engineer,316,Explain CI/CD pipeline.,System Design,Medium
Microsoft,DevOps Engineer,317,How do you monitor server performance?,Coding,Medium
Microsoft,DevOps Engineer,318,Describe a time you handled deployment failures.,Behavioral,Medium
Microsoft,DevOps Engineer,319,How would you scale infrastructure for high traffic?,System Design,Hard
Microsoft,DevOps Engineer,320,Explain containerization and orchestration.,Coding,Medium
Microsoft,QA Engineer,321,Explain different testing strategies.,Coding,Medium
Microsoft,QA Engineer,322,How do you write automated tests?,Coding,Medium
Microsoft,QA Engineer,323,Describe a challenging bug you found.,Behavioral,Medium
Microsoft,QA Engineer,324,Explain performance testing.,Coding,Hard
Microsoft,QA Engineer,325,How do you ensure software quality in releases?,Behavioral,Medium
Meta,Software Engineer,326,Explain the difference between a process and a thread.,Coding,Medium
Meta,Software Engineer,327,How would you design a scalable chat application?,System Design,Hard
Meta,Software Engineer,328,Describe a time you optimized code for performance.,Behavioral,Medium
Meta,Software Engineer,329,Explain memory management in programming languages.,Coding,Medium
Meta,Software Engineer,330,How do you handle merge conflicts in Git?,Coding,Easy
Meta,Data Scientist,331,Explain bias-variance tradeoff.,Coding,Medium
Meta,Data Scientist,332,How would you handle missing values?,Coding,Medium
Meta,Data Scientist,333,Describe a predictive model you built.,Behavioral,Medium
Meta,Data Scientist,334,How do you evaluate a machine learning model?,Coding,Hard
Meta,Data Scientist,335,Explain PCA and when to use it.,Coding,Medium
Meta,AI Engineer,336,Explain supervised vs unsupervised learning.,Coding,Medium
Meta,AI Engineer,337,Describe a neural network you implemented.,Coding,Hard
Meta,AI Engineer,338,How do you prevent overfitting in deep learning?,Coding,Hard
Meta,AI Engineer,339,What is reinforcement learning?,Coding,Medium
Meta,AI Engineer,340,How do you optimize model performance?,Coding,Medium
Meta,DevOps Engineer,341,Explain CI/CD pipeline.,System Design,Medium
Meta,DevOps Engineer,342,How do you monitor server performance?,Coding,Medium
Meta,DevOps Engineer,343,Describe a time you handled deployment failures.,Behavioral,Medium
Meta,DevOps Engineer,344,How would you scale infrastructure for high traffic?,System Design,Hard
Meta,DevOps Engineer,345,Explain containerization and orchestration.,Coding,Medium
Meta,QA Engineer,346,Explain different testing strategies.,Coding,Medium
Meta,QA Engineer,347,How do you write automated tests?,Coding,Medium
Meta,QA Engineer,348,Describe a challenging bug you found.,Behavioral,Medium
Meta,QA Engineer,349,Explain performance testing.,Coding,Hard
Meta,QA Engineer,350,How do you ensure software quality in releases?,Behavioral,Medium
Apple,Software Engineer,351,Explain the difference between a process and a thread.,Coding,Medium
Apple,Software Engineer,352,How would you design a scalable chat application?,System Design,Hard
Apple,Software Engineer,353,Describe a time you optimized code for performance.,Behavioral,Medium
Apple,Software Engineer,354,Explain memory management in programming languages.,Coding,Medium
Apple,Software Engineer,355,How do you handle merge conflicts in Git?,Coding,Easy
Apple,Data Scientist,356,Explain bias-variance tradeoff.,Coding,Medium
Apple,Data Scientist,357,How would you handle missing values?,Coding,Medium
Apple,Data Scientist,358,Describe a predictive model you built.,Behavioral,Medium
Apple,Data Scientist,359,How do you evaluate a machine learning model?,Coding,Hard
Apple,Data Scientist,360,Explain PCA and when to use it.,Coding,Medium
Apple,AI Engineer,361,Explain supervised vs unsupervised learning.,Coding,Medium
Apple,AI Engineer,362,Describe a neural network you implemented.,Coding,Hard
Apple,AI Engineer,363,How do you prevent overfitting in deep learning?,Coding,Hard
Apple,AI Engineer,364,What is reinforcement learning?,Coding,Medium
Apple,AI Engineer,365,How do you optimize model performance?,Coding,Medium
Apple,DevOps Engineer,366,Explain CI/CD pipeline.,System Design,Medium
Apple,DevOps Engineer,367,How do you monitor server performance?,Coding,Medium
Apple,DevOps Engineer,368,Describe a time you handled deployment failures.,Behavioral,Medium
Apple,DevOps Engineer,369,How would you scale infrastructure for high traffic?,System Design,Hard
Apple,DevOps Engineer,370,Explain containerization and orchestration.,Coding,Medium
Apple,QA Engineer,371,Explain different testing strategies.,Coding,Medium
Apple,QA Engineer,372,How do you write automated tests?,Coding,Medium
Apple,QA Engineer,373,Describe a challenging bug you found.,Behavioral,Medium
Apple,QA Engineer,374,Explain performance testing.,Coding,Hard
Apple,QA Engineer,375,How do you ensure software quality in releases?,Behavioral,Medium
Google,Software Engineer,376,Explain the difference between a process and a thread.,Coding,Medium
Google,Software Engineer,377,How would you design a scalable chat application?,System Design,Hard
Google,Software Engineer,378,Describe a time you optimized code for performance.,Behavioral,Medium
Google,Software Engineer,379,Explain memory management in programming languages.,Coding,Medium
Google,Software Engineer,380,How do you handle merge conflicts in Git?,Coding,Easy
Google,Data Scientist,381,Explain bias-variance tradeoff.,Coding,Medium
Google,Data Scientist,382,How would you handle missing values?,Coding,Medium
Google,Data Scientist,383,Describe a predictive model you built.,Behavioral,Medium
Google,Data Scientist,384,How do you evaluate a machine learning model?,Coding,Hard
Google,Data Scientist,385,Explain PCA and when to use it.,Coding,Medium
Google,AI Engineer,386,Explain supervised vs unsupervised learning.,Coding,Medium
Google,AI Engineer,387,Describe a neural network you implemented.,Coding,Hard
Google,AI Engineer,388,How do you prevent overfitting in deep learning?,Coding,Hard
Google,AI Engineer,389,What is reinforcement learning?,Coding,Medium
Google,AI Engineer,390,How do you optimize model performance?,Coding,Medium
Google,DevOps Engineer,391,Explain CI/CD pipeline.,System Design,Medium
Google,DevOps Engineer,392,How do you monitor server performance?,Coding,Medium
Google,DevOps Engineer,393,Describe a time you handled deployment failures.,Behavioral,Medium
